"","WorkerId","Random.ID","Start.Date","End.Date","Progress","Duration..in.seconds.","Finished","Recorded.Date","Response.ID","User.Language","Q_RecaptchaScore","Click.to.write.the.question.text...Date","X...I.believe.I.have.encountered.this.animal.species.in.the.real.world.","Which.social.media.do.you.have.use..select.all.that.apply..","X...I.am.knowledgeable.about.wildlife.and.or.habitat.conservation.","X...This.animal.is.an.endangered.species.","X...After.seeing.this.post..I.am.more.likely.to.support.wildlife.conservation.and.or.research.","X...This.animal.would.make.a.good.pet.","X...I.believe.I.have.encountered.this.animal.species.online.","X...I.would.seek.out.an.experience.to.personally.interact.with.this.animal.","X...This.post.depicts.wildlife.research.","X...I.would.like.to.have.this.animal.as.a.pet.","X...I.think.wildlife.conservation.is.important.","X...I.actively.support.or.participate.in.wildlife.and.or.habitat.conservation.","X...After.seeing.this.post..I.would.like.to.see.more.images.like.this.","To.see.the.post.again..use.your.mouse.to.click.on.the..Back..button.....What.one.word.comes.to.mind.when.you.see.this.post.","What.is.your.age.","Please.specify.your.ethnicity.","To.which.gender.identity.do.you.most.identify.","What.is.the.highest.degree.or.level.of.school.you.have.completed..If.currently.enrolled..what.is.your.highest.degree.received.","Treatment.shown","image","qresearch","qinteract","qgoodpet","qhavepet"
"28","A2C05S1ND4OQDC",58510,2022-08-19 15:51:44,2022-08-19 15:58:48,100,423,"1",2022-08-19 15:58:48,"R_2qquhR2kiKxwqmH","EN",0.899999976158142,"44792",4,"1,2,3,4,5,6",4,4,4,4,5,4,4,4,4,4,4,"dream job",40,1,1,4,"Image4","Image4",4,4,4,4
"29","A2JXPT39AWRES7",57311,2022-08-19 15:51:46,2022-08-19 15:57:38,100,351,"1",2022-08-19 15:57:38,"R_3EA8e6aR6u1cXaJ","EN",0.899999976158142,"44792",2,"1,2,3",2,4,3,1,5,2,3,1,4,2,3,"Gorilla",26,5,1,4,"Image1","Image1",3,2,1,1
"30","A3OUAR84WQO03Y",63394,2022-08-19 15:51:47,2022-08-19 16:00:01,100,494,"1",2022-08-19 16:00:02,"R_3eHGgv9ckBWosEx","EN",0.400000005960464,"44792",5,"2",5,5,5,2,4,5,5,5,5,5,5,"CATGAMES IS VERY INTEREST",35,1,1,4,"Image3","Image3",5,5,2,5
"31","A1BUBLBUNIPVTS",84860,2022-08-19 15:51:49,2022-08-19 16:00:48,100,539,"1",2022-08-19 16:00:49,"R_25R9jWSj2wVjEmT","EN",0.800000011920929,"43243",4,"1,2",4,3,4,4,3,3,5,2,1,4,4,"It will be nice",25,1,1,4,"Image1","Image1",5,3,4,2
"32","A5JUTCI1XLTTD",85102,2022-08-19 15:51:49,2022-08-19 16:00:14,100,505,"1",2022-08-19 16:00:15,"R_31TczwFoGmSbwcs","EN",1,"44792",5,"1,2,3,5",5,5,4,5,5,4,5,5,4,4,4,"jessd",46,1,2,4,"Image3","Image3",5,4,5,5
"33","A1V7P1J41UUK1B",79487,2022-08-19 15:51:52,2022-08-19 15:59:46,100,473,"1",2022-08-19 15:59:46,"R_2Ptdo80p27zkfik","EN",0.699999988079071,"44792",4,"1,2,3,5",4,4,3,2,4,3,4,1,3,4,4,"Very cute animal",33,1,2,4,"Image3","Image3",4,3,2,1
"34","A9CXJ9J58XIOB",20099,2022-08-19 15:51:55,2022-08-19 16:02:09,100,613,"1",2022-08-19 16:02:10,"R_1F5jCbiOKkzcLlK","EN",1,"44792",4,"1,2,3,4,5",4,4,5,5,4,4,4,5,4,4,5,"Mountain Gorilla",35,2,1,4,"Image1","Image1",4,4,5,5
"35","ATJ92FYQX176Z",24207,2022-08-19 15:51:56,2022-08-19 15:56:30,100,274,"1",2022-08-19 15:56:31,"R_125Wx6ZSEcdccBl","EN",0.899999976158142,"44792",2,"1,2,3",2,3,2,2,2,3,2,2,4,2,2,"scared",28,1,1,4,"Image4","Image4",2,3,2,2
"36","A34EDIQYF3F5LJ",71912,2022-08-19 15:51:56,2022-08-19 16:03:08,100,671,"1",2022-08-19 16:03:08,"R_PALOLZYEmmE2lFf","EN",1,"44792",4,"1,2,3",4,4,4,5,5,4,5,5,5,5,5,"ANIMALS ARE ALWAYS WELL",58,1,1,4,"Image1","Image1",5,4,5,5
"37","AXJCS1IMKLVF0",67216,2022-08-19 15:51:57,2022-08-19 16:05:23,100,805,"1",2022-08-19 16:05:23,"R_xsgSAUrxZDBZSut","EN",0.899999976158142,"44792",5,"1,2",4,3,4,4,4,2,3,4,4,3,4,"the post is look like beautiful",43,1,2,4,"Image2","Image2",3,2,4,4
"38","A3UY34VQFHEUDC",29599,2022-08-19 15:51:58,2022-08-19 16:06:43,100,884,"1",2022-08-19 16:06:43,"R_1kGKd91vdCVWFjZ","EN",1,"22542",4,"2,3",4,4,5,4,4,4,2,5,4,2,4,"butifull",60,4,1,4,"Image4","Image4",2,4,4,5
"39","A24OVLMBTKZPWN",41660,2022-08-19 15:51:59,2022-08-19 15:58:07,100,368,"1",2022-08-19 15:58:08,"R_2SiE8mfQZOXKllm","EN",1,"44792",4,"1,2,3,5",5,4,5,4,4,4,2,2,4,4,4,"Beautiful",30,1,1,4,"Image2","Image2",2,4,4,2
"40","A33B85TN97HQ33",16361,2022-08-19 15:52:01,2022-08-19 15:55:25,100,204,"1",2022-08-19 15:55:26,"R_rrUtfJTkJ1exo4N","EN",0.899999976158142,"44792",1,"1,2,3",4,1,3,1,3,1,5,1,5,4,1,"australia",49,1,2,2,"Image4","Image4",5,1,1,1
"41","ALIAA4VXDMG2Z",18903,2022-08-19 15:52:01,2022-08-19 16:00:05,100,483,"1",2022-08-19 16:00:06,"R_3kB0uPzb8NkZwHK","EN",1,"44792",2,"1,2,3",2,4,1,2,4,4,4,4,4,5,2,"happy",38,1,1,4,"Image2","Image2",4,4,2,4
"42","A12O3UH76HU4ED",22486,2022-08-19 15:52:05,2022-08-19 15:56:46,100,281,"1",2022-08-19 15:56:47,"R_1feHGB30POM68P6","EN",0.800000011920929,"44792",4,"1,2,3",4,4,4,5,5,5,5,5,4,4,4,"nice post",48,1,1,4,"Image1","Image1",5,5,5,5
"43","AASDEU7P0G6AP",39979,2022-08-19 15:52:05,2022-08-19 16:00:57,100,531,"1",2022-08-19 16:00:57,"R_2dYoo8euzRwvsVf","EN",0.899999976158142,"44792",4,"2",3,4,4,4,3,4,2,2,4,4,4,"super",63,1,2,4,"Image1","Image1",2,4,4,2
"44","A3BA2WMGN6KHUU",58116,2022-08-19 15:52:07,2022-08-19 16:02:52,100,645,"1",2022-08-19 16:02:55,"R_1QfvOzRm6Djr8sh","EN",1,"44792",5,"1,2,3,5",4,4,4,5,4,5,4,4,5,4,5,"friendship",38,1,2,4,"Image2","Image2",4,5,5,4
"45","AO32FOYH8JTM0",18577,2022-08-19 15:52:08,2022-08-19 15:58:32,100,383,"1",2022-08-19 15:58:32,"R_s6jg5DfH9fbMTn3","EN",0.800000011920929,"44792",5,"1,2,3",4,5,4,5,5,5,5,5,5,5,5,"happyness",40,1,1,2,"Image2","Image2",5,5,5,5
"46","A1S1GY5394L0C",53201,2022-08-19 15:52:09,2022-08-19 16:02:29,100,620,"1",2022-08-19 16:02:29,"R_2f6sAkDBt5oVdrh","EN",0.699999988079071,"44792",5,"1,2,3,4,5,6",5,5,5,5,5,5,5,5,5,5,5,"NICE",25,2,1,5,"Image4","Image4",5,5,5,5
"47","A1WCZTXZ5VWZVC",67775,2022-08-19 15:52:09,2022-08-19 16:00:51,100,522,"1",2022-08-19 16:00:51,"R_sdOrW4WAYbZ9lsZ","EN",1,"44792",4,"2",4,4,4,4,4,4,4,4,4,4,4,"animal",46,1,2,4,"Image2","Image2",4,4,4,4
"48","A23BITPVWP3DD",50592,2022-08-19 15:52:10,2022-08-19 16:08:58,100,1007,"1",2022-08-19 16:08:59,"R_2BhyvSJlD3NDFgw","EN",0.899999976158142,"44792",4,"2",4,4,2,4,4,2,4,4,4,4,4,"i dont like that post",60,1,2,4,"Image4","Image4",4,2,4,4
"49","A30ZNSA9LT9ZVG",93224,2022-08-19 15:52:17,2022-08-19 16:15:38,100,1401,"1",2022-08-19 16:15:38,"R_1MMyInuDjwzbH1V","EN",0.699999988079071,"44792",3,"1,2,3",5,4,4,3,3,4,4,3,4,4,3,"Very cute",23,1,1,4,"Image3","Image3",4,4,3,3
"50","A75HFSO84IPCT",96364,2022-08-19 15:52:18,2022-08-19 15:58:49,100,391,"1",2022-08-19 15:58:50,"R_3EEcU0MlwxiTjWj","EN",0.899999976158142,"44792",5,"1,2",5,4,4,5,4,5,5,4,4,5,5,"PET",40,1,1,2,"Image3","Image3",5,5,5,4
"51","A3867HOGH4P2UZ",88211,2022-08-19 15:52:21,2022-08-19 15:59:46,100,444,"1",2022-08-19 15:59:46,"R_3G2gbGF30VyueK5","EN",1,"44793",4,"1,2,3,4,5",4,4,4,1,4,4,5,5,4,4,4,"ITS VERY GOOD IMAGE IT SAY MANY STORY",27,2,2,5,"Image1","Image1",5,4,1,5
"52","A1Z0ZWDKKY3IV7",65341,2022-08-19 15:52:23,2022-08-19 16:06:34,100,850,"1",2022-08-19 16:06:35,"R_qOUzro4ZIG55J1D","EN",0.899999976158142,"44792",4,"1",4,4,4,4,2,4,2,4,5,4,4,"MONKYA",58,3,2,4,"Image4","Image4",2,4,4,4
"53","ABQKQQ8BD24BF",48896,2022-08-19 15:52:26,2022-08-19 15:57:17,100,290,"1",2022-08-19 15:57:17,"R_u7UFf6GmSmRKs1P","EN",0.899999976158142,"44792",1,"1,3",4,3,5,3,4,4,5,3,5,4,4,"Cute",64,1,2,3,"Image4","Image4",5,4,3,3
"54","AXGIQJKKDYS22",90572,2022-08-19 15:52:31,2022-08-19 16:09:44,100,1032,"1",2022-08-19 16:09:44,"R_3M5WRnlycTp2Exu","EN",0.899999976158142,"44792",2,"2",5,5,5,5,4,4,2,5,4,4,4,"i like that post",62,1,2,4,"Image1","Image1",2,4,5,5
"55","A2X9VV3B0FZKHY",45460,2022-08-19 15:52:32,2022-08-19 15:58:20,100,348,"1",2022-08-19 15:58:20,"R_3rNGVipUg7nmgSV","EN",1,"44792",1,"1,2,5",4,4,4,2,2,2,5,2,5,2,4,"unusual",69,1,1,2,"Image3","Image3",5,2,2,2
"56","A396H59ZZKVIGT",82473,2022-08-19 15:52:32,2022-08-19 16:02:16,100,584,"1",2022-08-19 16:02:16,"R_27THhQPEu8s83x0","EN",0.899999976158142,"44792",4,"1,2",4,4,4,5,4,4,4,4,5,4,5,"wonderful",66,1,2,4,"Image2","Image2",4,4,5,4
"57","APS15IHINI8G0",48574,2022-08-19 15:52:34,2022-08-19 16:11:55,100,1161,"1",2022-08-19 16:11:56,"R_2OIrQSUMTPm72UQ","EN",0.899999976158142,"44792",5,"2",5,5,4,4,5,4,5,4,5,4,5,"Pity",52,1,2,4,"Image2","Image2",5,4,4,4
"58","A3B3CGPPL80VD4",74097,2022-08-19 15:52:35,2022-08-19 16:05:44,100,789,"1",2022-08-19 16:05:45,"R_xi5JnxH3OaVlo65","EN",0.400000005960464,"44792",4,"1,3,4,5",3,4,4,5,4,5,4,4,5,4,4,"Good",27,4,2,4,"Image1","Image1",4,5,5,4
"59","A3KW4XO6V070P3",88726,2022-08-19 15:52:35,2022-08-19 16:03:37,100,661,"1",2022-08-19 16:03:37,"R_1F8OucM2fXrLTTz","EN",1,"44792",4,"2,3",5,4,4,4,4,4,4,5,4,4,4,"hope",45,1,1,4,"Image3","Image3",4,4,4,5
"60","A3VISS22RHM98M",33507,2022-08-19 15:52:36,2022-08-19 16:01:44,100,547,"1",2022-08-19 16:01:44,"R_2copDXQsbK1ZCJ1","EN",0.899999976158142,"44792",4,"1,2,3",4,5,4,4,4,4,4,4,4,4,4,"mark",30,1,1,4,"Image4","Image4",4,4,4,4
"61","A13HSR88OUNIVP",81365,2022-08-19 15:52:36,2022-08-19 15:59:51,100,434,"1",2022-08-19 15:59:51,"R_3iKiKyfOFsWnT7T","EN",0.899999976158142,"44792",1,"1",2,4,3,1,3,2,4,1,4,2,3,"cute",73,1,2,4,"Image4","Image4",4,2,1,1
"62","A7SXWHGK8B40R",29318,2022-08-19 15:52:38,2022-08-19 15:54:53,100,135,"1",2022-08-19 15:54:53,"R_3NXw1oD3sRdMEBY","EN",1,"44792",1,"1,2,3",4,2,4,1,4,4,5,1,4,1,4,"Anmal",24,1,1,4,"Image4","Image4",5,4,1,1
"63","A25N2OW7USWS2H",54526,2022-08-19 15:52:39,2022-08-19 16:01:00,100,501,"1",2022-08-19 16:01:01,"R_2b1TF7UzvzE1AaW","EN",0.899999976158142,"44792",4,"1,2,3",5,5,5,4,4,4,5,5,4,4,5,"its animal",47,1,2,5,"Image3","Image3",5,4,4,5
"64","A25FJAJGTWFMP",95623,2022-08-19 15:52:39,2022-08-19 16:01:15,100,515,"1",2022-08-19 16:01:15,"R_1Gwvch7XrjprR6y","EN",1,"44792",1,"1,2,3,5",4,5,4,1,3,3,4,1,5,4,5,"Cool",64,1,2,4,"Image1","Image1",4,3,1,1
"65","A3MUOTEFF45QLL",38962,2022-08-19 15:52:41,2022-08-19 15:57:29,100,287,"1",2022-08-19 15:57:29,"R_vACcvpzz2BklCRr","EN",1,"44792",1,"1,2,5",3,5,3,1,5,1,4,1,5,5,3,"invasive",39,1,2,4,"Image1","Image1",4,1,1,1
"66","A37QPDC13L25JW",99843,2022-08-19 15:52:47,2022-08-19 16:04:00,100,673,"1",2022-08-19 16:04:01,"R_2qfOM0PN8RIDDLf","EN",0.899999976158142,"44792",2,"1,2,3,4,5,6",4,4,4,3,3,4,3,3,5,4,3,"PITTY",32,1,1,4,"Image4","Image4",3,4,3,3
"67","AT0W0DYUPDXBI",52085,2022-08-19 15:52:48,2022-08-19 16:00:23,100,455,"1",2022-08-19 16:00:23,"R_2tJZEnJYFy0KKaZ","EN",1,"44792",4,"2,3",3,3,5,3,4,4,3,2,5,4,4,"Gorilla",35,1,2,2,"Image2","Image2",3,4,3,2
"68","A13XMDCMSOL3Z3",65040,2022-08-19 15:52:48,2022-08-19 15:58:32,100,344,"1",2022-08-19 15:58:32,"R_1C9mXNugYbsIKyu","EN",0.899999976158142,"44792",2,"1,2,3",4,4,4,1,4,1,5,1,5,4,3,"Gorilla",54,1,2,3,"Image2","Image2",5,1,1,1
"69","A1ZDMNOR8EZ302",27853,2022-08-19 15:52:51,2022-08-19 16:07:44,100,892,"1",2022-08-19 16:07:44,"R_bfJNbFVDfythgsN","EN",1,"44792",3,"1,2,3,4,5",4,4,4,4,3,4,4,4,4,4,4,"That Was Cute",38,1,2,4,"Image3","Image3",4,4,4,4
"70","A3PCGNRHYZ8EBK",75919,2022-08-19 15:52:53,2022-08-19 16:04:16,100,683,"1",2022-08-19 16:04:17,"R_yIIv7R3esHJOdPj","EN",0.800000011920929,"44792",5,"1,2",4,4,4,4,4,4,4,5,4,4,5,"king kong",30,1,1,4,"Image2","Image2",4,4,4,5
"71","AW8DWI44UAHGA",81816,2022-08-19 15:52:53,2022-08-19 16:01:16,100,502,"1",2022-08-19 16:01:16,"R_2CDlRraJRt9i6cY","EN",0.699999988079071,"44792",4,"1,2,3",4,4,4,1,1,2,5,1,4,2,3,"Gorillas",29,1,1,2,"Image2","Image2",5,2,1,1
"72","A3F0RWNF0Q3HVN",86470,2022-08-19 15:52:53,2022-08-19 16:00:56,100,482,"1",2022-08-19 16:00:56,"R_2frHzOidWV3YeIH","EN",0.899999976158142,"44792",5,"1,2,3",5,5,4,4,5,4,5,4,5,4,4,"Memories",45,1,1,5,"Image4","Image4",5,4,4,4
"73","A2P8V5SKYLL5I4",14150,2022-08-19 15:52:54,2022-08-19 15:57:55,100,301,"1",2022-08-19 15:57:55,"R_1imMFXc2RdpizYR","EN",0.899999976158142,"44792",2,"1,2,3",3,2,4,3,2,3,4,2,4,3,4,"unique",34,3,1,4,"Image4","Image4",4,3,3,2
"74","A2JA751AKAGSKW",30313,2022-08-19 15:52:54,2022-08-19 16:00:22,100,448,"1",2022-08-19 16:00:23,"R_1rluuMdUabj3woU","EN",0.899999976158142,"44792",4,"1,2",2,4,2,4,4,4,4,2,4,4,4,"happly",43,1,2,4,"Image4","Image4",4,4,4,2
"75","A28RDJQLGDZBSL",64003,2022-08-19 15:52:54,2022-08-19 16:00:33,100,458,"1",2022-08-19 16:00:33,"R_A7FDgfoezUg4lTX","EN",1,"44792",4,"1,2,3,4,5,6",4,4,4,2,4,4,4,4,4,4,2,"pet animals",32,1,1,2,"Image1","Image1",4,4,2,4
"76","A1EYACDLY9MLIR",77117,2022-08-19 15:52:55,2022-08-19 15:56:38,100,223,"1",2022-08-19 15:56:39,"R_3oHJnR4mgWnEZzf","EN",1,"44792",5,"1,2,3",5,5,5,5,1,4,5,5,4,5,5,"nothing",30,1,1,4,"Image1","Image1",5,4,5,5
"77","A3V6A8AZYWOXNR",32257,2022-08-19 15:53:03,2022-08-19 16:05:58,100,775,"1",2022-08-19 16:05:58,"R_1MR5KygNIImAWN4","EN",0.800000011920929,"44792",4,"1,2,3",4,2,4,4,4,4,4,4,4,4,5,"In this post are very simple",32,1,2,4,"Image4","Image4",4,4,4,4
"78","A1WA0HG8XP69RQ",53310,2022-08-19 15:53:10,2022-08-19 16:01:21,100,491,"1",2022-08-19 16:01:22,"R_1DGYQWYGnyht06n","EN",0.899999976158142,"44792",4,"1,2,5",4,4,5,4,4,5,5,4,4,5,4,"primatologist",29,4,1,4,"Image4","Image4",5,5,4,4
"79","A2TCNQL5VLOVNR",70969,2022-08-19 15:53:13,2022-08-19 16:04:51,100,697,"1",2022-08-19 16:04:51,"R_2YSdZ5deKrdVi11","EN",0.899999976158142,"44792",4,"1,2,3",4,4,4,4,4,5,5,4,4,4,4,"I DONT LIKE THIS PIC",51,1,2,4,"Image3","Image3",5,5,4,4
