WorkerId,Random.ID,Start.Date,End.Date,Progress,Duration..in.seconds.,Finished,Recorded.Date,Response.ID,User.Language,Q_RecaptchaScore,Click.to.write.the.question.text...Date,X...I.believe.I.have.encountered.this.animal.species.in.the.real.world.,Which.social.media.do.you.have.use..select.all.that.apply..,X...I.am.knowledgeable.about.wildlife.and.or.habitat.conservation.,X...This.animal.is.an.endangered.species.,X...After.seeing.this.post..I.am.more.likely.to.support.wildlife.conservation.and.or.research.,X...This.animal.would.make.a.good.pet.,X...I.believe.I.have.encountered.this.animal.species.online.,X...I.would.seek.out.an.experience.to.personally.interact.with.this.animal.,X...This.post.depicts.wildlife.research.,X...I.would.like.to.have.this.animal.as.a.pet.,X...I.think.wildlife.conservation.is.important.,X...I.actively.support.or.participate.in.wildlife.and.or.habitat.conservation.,X...After.seeing.this.post..I.would.like.to.see.more.images.like.this.,To.see.the.post.again..use.your.mouse.to.click.on.the..Back..button.....What.one.word.comes.to.mind.when.you.see.this.post.,What.is.your.age.,Please.specify.your.ethnicity.,To.which.gender.identity.do.you.most.identify.,What.is.the.highest.degree.or.level.of.school.you.have.completed..If.currently.enrolled..what.is.your.highest.degree.received.,Treatment.shown
A1B3Y1O8AKNODN,65993,8/19/2022 15:51,8/19/2022 16:01,100,595,1,8/19/2022 16:01,R_1pMzUr9HkOf5Eny,EN,0.899999976,8/20/2022,4,"1,2,3,4,5",5,3,5,4,4,5,4,5,4,4,4,SAVE ANIMALS,47,1,1,4,Image4
A3H78MPB16RT7K,30867,8/19/2022 15:51,8/19/2022 16:00,100,566,1,8/19/2022 16:00,R_2rkE9lfbYoqjqzA,EN,0.899999976,8/19/2022,5,1,4,4,4,4,5,4,2,2,5,4,4,good,42,1,1,4,Image4
A3PRX1XFWEZ3AT,66172,8/19/2022 15:51,8/19/2022 16:01,100,584,1,8/19/2022 16:01,R_3DiPh1FnPaI4p7H,EN,1,8/19/2022,2,"1,2,3",4,5,4,4,2,4,4,4,4,5,4,kind,33,1,2,4,Image3
A14E4ISXVJVY6F,47636,8/19/2022 15:51,8/19/2022 15:56,100,320,1,8/19/2022 15:56,R_Xvz1PJZ66cFiayt,EN,1,8/19/2022,5,"1,2,3",4,1,5,4,2,5,2,5,4,5,4,CARING,40,1,2,4,Image3
A3VNW2H3CFIG2Y,67054,8/19/2022 15:51,8/19/2022 15:59,100,473,1,8/19/2022 15:59,R_2vYfGBMKJytxNlu,EN,0.899999976,8/19/2022,5,"1,2,3,4,5",5,5,5,5,5,5,5,5,5,5,5,SAVE WILD ANIMALS,32,1,1,5,Image4
AYOAE5J9JNRRB,16338,8/19/2022 15:51,8/19/2022 16:01,100,571,1,8/19/2022 16:01,R_3qwCIiRNjGywFkr,EN,0.899999976,8/19/2022,4,"1,2,3",3,4,4,4,4,3,4,2,4,4,4,animals love with human,30,1,2,4,Image3
A1RCQE1TJGENCU,91909,8/19/2022 15:51,8/19/2022 16:01,100,575,1,8/19/2022 16:01,R_2ARuA0cblhfaZgn,EN,0.899999976,8/19/2022,2,2,3,4,3,3,4,4,3,2,4,4,4,Research,25,1,2,4,Image3
A2O3K4YJEZMPQ4,69104,8/19/2022 15:51,8/19/2022 15:58,100,403,1,8/19/2022 15:58,R_2aQQLRT88dvPj4m,EN,1,8/19/2022,4,"1,2,3",4,4,3,4,4,4,4,4,4,3,4,me with my research,30,4,1,5,Image3
A3IE9FGFEF69UW,16115,8/19/2022 15:51,8/19/2022 16:09,100,1063,1,8/19/2022 16:09,R_2a8r2JqsPy8X7vr,EN,0.899999976,8/19/2022,4,"1,2,3,5",4,4,5,5,5,4,3,4,5,4,4,ALL ANIMALS ARE OBSER VED SAFELY AND HUMANLY,28,1,1,4,Image2
AH7WE5OA2UXSM,16115,8/19/2022 15:51,8/19/2022 16:09,100,1063,1,8/19/2022 16:09,R_2a8r2JqsPy8X7vr,EN,0.899999976,8/19/2022,4,"1,2,3,5",4,4,5,5,5,4,3,4,5,4,4,ALL ANIMALS ARE OBSER VED SAFELY AND HUMANLY,28,1,1,4,Image2
A2RCYLKY072XXO,33192,8/19/2022 15:51,8/19/2022 15:54,100,146,1,8/19/2022 15:54,R_116kUJdWcZbUwun,EN,1,8/19/2022,1,"1,2,3",4,5,2,1,5,1,5,1,5,2,2,invasive,34,5,1,4,Image2
A1BXWUOJFE7F1K,44868,8/19/2022 15:51,8/19/2022 16:04,100,759,1,8/19/2022 16:04,R_2teOpHZ5gr4Xz3j,EN,0.800000012,8/19/2022,5,1,5,5,5,4,5,5,5,5,5,5,5,SAVE WILD ANIMALS,43,1,2,4,Image2
A37CV45RPN41FL,53993,8/19/2022 15:51,8/19/2022 15:57,100,329,1,8/19/2022 15:57,R_yRfelFyK3ECOsXT,EN,1,8/19/2022,2,"1,2",5,4,3,4,3,2,5,5,4,4,4,fear,36,1,2,4,Image1
A3H7JSG6XGTQ3E,34264,8/19/2022 15:51,8/19/2022 16:05,100,831,1,8/19/2022 16:05,R_3qlpfTgd0gofIGW,EN,1,8/19/2022,4,"1,2",2,2,4,5,4,4,4,2,4,5,4,monkey,37,1,2,4,Image2
A2L7RTYO4UMYDH,34264,8/19/2022 15:51,8/19/2022 16:05,100,831,1,8/19/2022 16:05,R_3qlpfTgd0gofIGW,EN,1,8/19/2022,4,"1,2",2,2,4,5,4,4,4,2,4,5,4,monkey,37,1,2,4,Image2
A2KVX76HMY6SZQ,49180,8/19/2022 15:51,8/19/2022 16:30,100,2343,1,8/19/2022 16:30,R_xGFLJkUSDUZK61b,EN,0.899999976,8/19/2022,4,"1,2,4",4,4,4,4,4,4,4,4,4,4,4,animal,30,1,1,5,Image1
A15CL9A9FVSJDW,47990,8/19/2022 15:51,8/19/2022 15:55,100,230,1,8/19/2022 15:55,R_1Nk0UMmgvGewo0g,EN,1,8/19/2022,5,"1,2,3",4,4,4,1,5,4,5,2,4,2,4,Gorilla,27,1,1,2,Image1
A2C05S1ND4OQDC,58510,8/19/2022 15:51,8/19/2022 15:58,100,423,1,8/19/2022 15:58,R_2qquhR2kiKxwqmH,EN,0.899999976,8/19/2022,4,"1,2,3,4,5,6",4,4,4,4,5,4,4,4,4,4,4,dream job,40,1,1,4,Image4
A2JXPT39AWRES7,57311,8/19/2022 15:51,8/19/2022 15:57,100,351,1,8/19/2022 15:57,R_3EA8e6aR6u1cXaJ,EN,0.899999976,8/19/2022,2,"1,2,3",2,4,3,1,5,2,3,1,4,2,3,Gorilla,26,5,1,4,Image1
A3OUAR84WQO03Y,63394,8/19/2022 15:51,8/19/2022 16:00,100,494,1,8/19/2022 16:00,R_3eHGgv9ckBWosEx,EN,0.400000006,8/19/2022,5,2,5,5,5,2,4,5,5,5,5,5,5,CATGAMES IS VERY INTEREST,35,1,1,4,Image3
A1BUBLBUNIPVTS,84860,8/19/2022 15:51,8/19/2022 16:00,100,539,1,8/19/2022 16:00,R_25R9jWSj2wVjEmT,EN,0.800000012,5/23/2018,4,"1,2",4,3,4,4,3,3,5,2,1,4,4,It will be nice,25,1,1,4,Image1
A5JUTCI1XLTTD,85102,8/19/2022 15:51,8/19/2022 16:00,100,505,1,8/19/2022 16:00,R_31TczwFoGmSbwcs,EN,1,8/19/2022,5,"1,2,3,5",5,5,4,5,5,4,5,5,4,4,4,jessd,46,1,2,4,Image3
A1V7P1J41UUK1B,79487,8/19/2022 15:51,8/19/2022 15:59,100,473,1,8/19/2022 15:59,R_2Ptdo80p27zkfik,EN,0.699999988,8/19/2022,4,"1,2,3,5",4,4,3,2,4,3,4,1,3,4,4,Very cute animal,33,1,2,4,Image3
A9CXJ9J58XIOB,20099,8/19/2022 15:51,8/19/2022 16:02,100,613,1,8/19/2022 16:02,R_1F5jCbiOKkzcLlK,EN,1,8/19/2022,4,"1,2,3,4,5",4,4,5,5,4,4,4,5,4,4,5,Mountain Gorilla,35,2,1,4,Image1
ATJ92FYQX176Z,24207,8/19/2022 15:51,8/19/2022 15:56,100,274,1,8/19/2022 15:56,R_125Wx6ZSEcdccBl,EN,0.899999976,8/19/2022,2,"1,2,3",2,3,2,2,2,3,2,2,4,2,2,scared,28,1,1,4,Image4
A34EDIQYF3F5LJ,71912,8/19/2022 15:51,8/19/2022 16:03,100,671,1,8/19/2022 16:03,R_PALOLZYEmmE2lFf,EN,1,8/19/2022,4,"1,2,3",4,4,4,5,5,4,5,5,5,5,5,ANIMALS ARE ALWAYS WELL,58,1,1,4,Image1
AXJCS1IMKLVF0,67216,8/19/2022 15:51,8/19/2022 16:05,100,805,1,8/19/2022 16:05,R_xsgSAUrxZDBZSut,EN,0.899999976,8/19/2022,5,"1,2",4,3,4,4,4,2,3,4,4,3,4,the post is look like beautiful,43,1,2,4,Image2
A3UY34VQFHEUDC,29599,8/19/2022 15:51,8/19/2022 16:06,100,884,1,8/19/2022 16:06,R_1kGKd91vdCVWFjZ,EN,1,9/18/1961,4,"2,3",4,4,5,4,4,4,2,5,4,2,4,butifull,60,4,1,4,Image4
A24OVLMBTKZPWN,41660,8/19/2022 15:51,8/19/2022 15:58,100,368,1,8/19/2022 15:58,R_2SiE8mfQZOXKllm,EN,1,8/19/2022,4,"1,2,3,5",5,4,5,4,4,4,2,2,4,4,4,Beautiful,30,1,1,4,Image2
A33B85TN97HQ33,16361,8/19/2022 15:52,8/19/2022 15:55,100,204,1,8/19/2022 15:55,R_rrUtfJTkJ1exo4N,EN,0.899999976,8/19/2022,1,"1,2,3",4,1,3,1,3,1,5,1,5,4,1,australia,49,1,2,2,Image4
ALIAA4VXDMG2Z,18903,8/19/2022 15:52,8/19/2022 16:00,100,483,1,8/19/2022 16:00,R_3kB0uPzb8NkZwHK,EN,1,8/19/2022,2,"1,2,3",2,4,1,2,4,4,4,4,4,5,2,happy,38,1,1,4,Image2
A12O3UH76HU4ED,22486,8/19/2022 15:52,8/19/2022 15:56,100,281,1,8/19/2022 15:56,R_1feHGB30POM68P6,EN,0.800000012,8/19/2022,4,"1,2,3",4,4,4,5,5,5,5,5,4,4,4,nice post,48,1,1,4,Image1
AASDEU7P0G6AP,39979,8/19/2022 15:52,8/19/2022 16:00,100,531,1,8/19/2022 16:00,R_2dYoo8euzRwvsVf,EN,0.899999976,8/19/2022,4,2,3,4,4,4,3,4,2,2,4,4,4,super,63,1,2,4,Image1
A3BA2WMGN6KHUU,58116,8/19/2022 15:52,8/19/2022 16:02,100,645,1,8/19/2022 16:02,R_1QfvOzRm6Djr8sh,EN,1,8/19/2022,5,"1,2,3,5",4,4,4,5,4,5,4,4,5,4,5,friendship,38,1,2,4,Image2
AO32FOYH8JTM0,18577,8/19/2022 15:52,8/19/2022 15:58,100,383,1,8/19/2022 15:58,R_s6jg5DfH9fbMTn3,EN,0.800000012,8/19/2022,5,"1,2,3",4,5,4,5,5,5,5,5,5,5,5,happyness,40,1,1,2,Image2
A1S1GY5394L0C,53201,8/19/2022 15:52,8/19/2022 16:02,100,620,1,8/19/2022 16:02,R_2f6sAkDBt5oVdrh,EN,0.699999988,8/19/2022,5,"1,2,3,4,5,6",5,5,5,5,5,5,5,5,5,5,5,NICE,25,2,1,5,Image4
A1WCZTXZ5VWZVC,67775,8/19/2022 15:52,8/19/2022 16:00,100,522,1,8/19/2022 16:00,R_sdOrW4WAYbZ9lsZ,EN,1,8/19/2022,4,2,4,4,4,4,4,4,4,4,4,4,4,animal,46,1,2,4,Image2
A23BITPVWP3DD,50592,8/19/2022 15:52,8/19/2022 16:08,100,1007,1,8/19/2022 16:08,R_2BhyvSJlD3NDFgw,EN,0.899999976,8/19/2022,4,2,4,4,2,4,4,2,4,4,4,4,4,i dont like that post,60,1,2,4,Image4
A30ZNSA9LT9ZVG,93224,8/19/2022 15:52,8/19/2022 16:15,100,1401,1,8/19/2022 16:15,R_1MMyInuDjwzbH1V,EN,0.699999988,8/19/2022,3,"1,2,3",5,4,4,3,3,4,4,3,4,4,3,Very cute,23,1,1,4,Image3
A75HFSO84IPCT,96364,8/19/2022 15:52,8/19/2022 15:58,100,391,1,8/19/2022 15:58,R_3EEcU0MlwxiTjWj,EN,0.899999976,8/19/2022,5,"1,2",5,4,4,5,4,5,5,4,4,5,5,PET,40,1,1,2,Image3
A3867HOGH4P2UZ,88211,8/19/2022 15:52,8/19/2022 15:59,100,444,1,8/19/2022 15:59,R_3G2gbGF30VyueK5,EN,1,8/20/2022,4,"1,2,3,4,5",4,4,4,1,4,4,5,5,4,4,4,ITS VERY GOOD IMAGE IT SAY MANY STORY,27,2,2,5,Image1
A1Z0ZWDKKY3IV7,65341,8/19/2022 15:52,8/19/2022 16:06,100,850,1,8/19/2022 16:06,R_qOUzro4ZIG55J1D,EN,0.899999976,8/19/2022,4,1,4,4,4,4,2,4,2,4,5,4,4,MONKYA,58,3,2,4,Image4
ABQKQQ8BD24BF,48896,8/19/2022 15:52,8/19/2022 15:57,100,290,1,8/19/2022 15:57,R_u7UFf6GmSmRKs1P,EN,0.899999976,8/19/2022,1,"1,3",4,3,5,3,4,4,5,3,5,4,4,Cute,64,1,2,3,Image4
AXGIQJKKDYS22,90572,8/19/2022 15:52,8/19/2022 16:09,100,1032,1,8/19/2022 16:09,R_3M5WRnlycTp2Exu,EN,0.899999976,8/19/2022,2,2,5,5,5,5,4,4,2,5,4,4,4,i like that post,62,1,2,4,Image1
A2X9VV3B0FZKHY,45460,8/19/2022 15:52,8/19/2022 15:58,100,348,1,8/19/2022 15:58,R_3rNGVipUg7nmgSV,EN,1,8/19/2022,1,"1,2,5",4,4,4,2,2,2,5,2,5,2,4,unusual,69,1,1,2,Image3
A396H59ZZKVIGT,82473,8/19/2022 15:52,8/19/2022 16:02,100,584,1,8/19/2022 16:02,R_27THhQPEu8s83x0,EN,0.899999976,8/19/2022,4,"1,2",4,4,4,5,4,4,4,4,5,4,5,wonderful,66,1,2,4,Image2
APS15IHINI8G0,48574,8/19/2022 15:52,8/19/2022 16:11,100,1161,1,8/19/2022 16:11,R_2OIrQSUMTPm72UQ,EN,0.899999976,8/19/2022,5,2,5,5,4,4,5,4,5,4,5,4,5,Pity,52,1,2,4,Image2
A3B3CGPPL80VD4,74097,8/19/2022 15:52,8/19/2022 16:05,100,789,1,8/19/2022 16:05,R_xi5JnxH3OaVlo65,EN,0.400000006,8/19/2022,4,"1,3,4,5",3,4,4,5,4,5,4,4,5,4,4,Good ,27,4,2,4,Image1
A3KW4XO6V070P3,88726,8/19/2022 15:52,8/19/2022 16:03,100,661,1,8/19/2022 16:03,R_1F8OucM2fXrLTTz,EN,1,8/19/2022,4,"2,3",5,4,4,4,4,4,4,5,4,4,4,hope,45,1,1,4,Image3
A3VISS22RHM98M,33507,8/19/2022 15:52,8/19/2022 16:01,100,547,1,8/19/2022 16:01,R_2copDXQsbK1ZCJ1,EN,0.899999976,8/19/2022,4,"1,2,3",4,5,4,4,4,4,4,4,4,4,4,mark,30,1,1,4,Image4
A13HSR88OUNIVP,81365,8/19/2022 15:52,8/19/2022 15:59,100,434,1,8/19/2022 15:59,R_3iKiKyfOFsWnT7T,EN,0.899999976,8/19/2022,1,1,2,4,3,1,3,2,4,1,4,2,3,cute,73,1,2,4,Image4
A7SXWHGK8B40R,29318,8/19/2022 15:52,8/19/2022 15:54,100,135,1,8/19/2022 15:54,R_3NXw1oD3sRdMEBY,EN,1,8/19/2022,1,"1,2,3",4,2,4,1,4,4,5,1,4,1,4,Anmal,24,1,1,4,Image4
A25N2OW7USWS2H,54526,8/19/2022 15:52,8/19/2022 16:01,100,501,1,8/19/2022 16:01,R_2b1TF7UzvzE1AaW,EN,0.899999976,8/19/2022,4,"1,2,3",5,5,5,4,4,4,5,5,4,4,5,its animal,47,1,2,5,Image3
A25FJAJGTWFMP,95623,8/19/2022 15:52,8/19/2022 16:01,100,515,1,8/19/2022 16:01,R_1Gwvch7XrjprR6y,EN,1,8/19/2022,1,"1,2,3,5",4,5,4,1,3,3,4,1,5,4,5,Cool,64,1,2,4,Image1
A3MUOTEFF45QLL,38962,8/19/2022 15:52,8/19/2022 15:57,100,287,1,8/19/2022 15:57,R_vACcvpzz2BklCRr,EN,1,8/19/2022,1,"1,2,5",3,5,3,1,5,1,4,1,5,5,3,invasive,39,1,2,4,Image1
A37QPDC13L25JW,99843,8/19/2022 15:52,8/19/2022 16:04,100,673,1,8/19/2022 16:04,R_2qfOM0PN8RIDDLf,EN,0.899999976,8/19/2022,2,"1,2,3,4,5,6",4,4,4,3,3,4,3,3,5,4,3,PITTY,32,1,1,4,Image4
AT0W0DYUPDXBI,52085,8/19/2022 15:52,8/19/2022 16:00,100,455,1,8/19/2022 16:00,R_2tJZEnJYFy0KKaZ,EN,1,8/19/2022,4,"2,3",3,3,5,3,4,4,3,2,5,4,4,Gorilla,35,1,2,2,Image2
A13XMDCMSOL3Z3,65040,8/19/2022 15:52,8/19/2022 15:58,100,344,1,8/19/2022 15:58,R_1C9mXNugYbsIKyu,EN,0.899999976,8/19/2022,2,"1,2,3",4,4,4,1,4,1,5,1,5,4,3,Gorilla,54,1,2,3,Image2
A1ZDMNOR8EZ302,27853,8/19/2022 15:52,8/19/2022 16:07,100,892,1,8/19/2022 16:07,R_bfJNbFVDfythgsN,EN,1,8/19/2022,3,"1,2,3,4,5",4,4,4,4,3,4,4,4,4,4,4,That Was Cute,38,1,2,4,Image3
A3PCGNRHYZ8EBK,75919,8/19/2022 15:52,8/19/2022 16:04,100,683,1,8/19/2022 16:04,R_yIIv7R3esHJOdPj,EN,0.800000012,8/19/2022,5,"1,2",4,4,4,4,4,4,4,5,4,4,5,king kong,30,1,1,4,Image2
AW8DWI44UAHGA,81816,8/19/2022 15:52,8/19/2022 16:01,100,502,1,8/19/2022 16:01,R_2CDlRraJRt9i6cY,EN,0.699999988,8/19/2022,4,"1,2,3",4,4,4,1,1,2,5,1,4,2,3,Gorillas,29,1,1,2,Image2
A3F0RWNF0Q3HVN,86470,8/19/2022 15:52,8/19/2022 16:00,100,482,1,8/19/2022 16:00,R_2frHzOidWV3YeIH,EN,0.899999976,8/19/2022,5,"1,2,3",5,5,4,4,5,4,5,4,5,4,4,Memories,45,1,1,5,Image4
A2P8V5SKYLL5I4,14150,8/19/2022 15:52,8/19/2022 15:57,100,301,1,8/19/2022 15:57,R_1imMFXc2RdpizYR,EN,0.899999976,8/19/2022,2,"1,2,3",3,2,4,3,2,3,4,2,4,3,4,unique,34,3,1,4,Image4
A2JA751AKAGSKW,30313,8/19/2022 15:52,8/19/2022 16:00,100,448,1,8/19/2022 16:00,R_1rluuMdUabj3woU,EN,0.899999976,8/19/2022,4,"1,2",2,4,2,4,4,4,4,2,4,4,4,happly,43,1,2,4,Image4
A28RDJQLGDZBSL,64003,8/19/2022 15:52,8/19/2022 16:00,100,458,1,8/19/2022 16:00,R_A7FDgfoezUg4lTX,EN,1,8/19/2022,4,"1,2,3,4,5,6",4,4,4,2,4,4,4,4,4,4,2,pet animals,32,1,1,2,Image1
A1EYACDLY9MLIR,77117,8/19/2022 15:52,8/19/2022 15:56,100,223,1,8/19/2022 15:56,R_3oHJnR4mgWnEZzf,EN,1,8/19/2022,5,"1,2,3",5,5,5,5,1,4,5,5,4,5,5,nothing,30,1,1,4,Image1
A3V6A8AZYWOXNR,32257,8/19/2022 15:53,8/19/2022 16:05,100,775,1,8/19/2022 16:05,R_1MR5KygNIImAWN4,EN,0.800000012,8/19/2022,4,"1,2,3",4,2,4,4,4,4,4,4,4,4,5,In this post are very simple ,32,1,2,4,Image4
A1WA0HG8XP69RQ,53310,8/19/2022 15:53,8/19/2022 16:01,100,491,1,8/19/2022 16:01,R_1DGYQWYGnyht06n,EN,0.899999976,8/19/2022,4,"1,2,5",4,4,5,4,4,5,5,4,4,5,4,primatologist,29,4,1,4,Image4
A2TCNQL5VLOVNR,70969,8/19/2022 15:53,8/19/2022 16:04,100,697,1,8/19/2022 16:04,R_2YSdZ5deKrdVi11,EN,0.899999976,8/19/2022,4,"1,2,3",4,4,4,4,4,5,5,4,4,4,4,I DONT LIKE THIS PIC,51,1,2,4,Image3
A2XX20Z6H7Q8CH,66538,8/19/2022 15:53,8/19/2022 15:56,100,206,1,8/19/2022 15:56,R_25zpbAaB6sxte09,EN,0.899999976,8/19/2022,2,"1,2,3,5",5,4,4,4,5,4,4,4,2,4,5,none ,24,4,1,4,Image2
ACR6012D868PP,57382,8/19/2022 15:53,8/19/2022 16:02,100,529,1,8/19/2022 16:02,R_2rxbP4TAHDPjhDm,EN,1,8/19/2022,4,1,4,4,4,4,4,4,4,4,4,4,4,all animal's for absolver the   humaa,35,1,1,4,Image2
A17M83XMPNU44O,82020,8/19/2022 15:53,8/19/2022 16:00,100,430,1,8/19/2022 16:00,R_PTByoESagfOQkDv,EN,1,8/19/2022,4,"1,2",2,4,4,4,4,5,2,4,4,4,4,bonding,23,1,1,4,Image2
A2LGGK7S61RTL6,21294,8/19/2022 15:53,8/19/2022 16:06,100,813,1,8/19/2022 16:06,R_yk0mcUxWVdswnfz,EN,0.899999976,8/19/2022,4,"1,2",5,5,4,5,4,4,5,4,5,4,5,nice,34,1,1,4,Image4
A1YX741QQSMKPS,70503,8/19/2022 15:53,8/19/2022 15:59,100,355,1,8/19/2022 15:59,R_6maPbrvJJQ5aRmp,EN,1,8/18/2022,5,1,4,5,4,1,5,2,3,1,5,4,4,gravitas,61,1,1,4,Image1
AWL3X0JE6Q7JB,47186,8/19/2022 15:53,8/19/2022 16:01,100,473,1,8/19/2022 16:01,R_vADgUSyHn19kghj,EN,1,8/19/2022,5,"2,3",5,5,4,5,4,4,5,4,5,5,4,crazy,36,1,1,4,Image3
A2K93NWO8484LG,44071,8/19/2022 15:53,8/19/2022 16:08,100,886,1,8/19/2022 16:08,R_3EaPWd9NzU3BBHD,EN,1,8/19/2022,4,"1,2,3",4,5,5,5,5,5,5,4,4,5,5,Pity,60,1,2,4,Image3
A3C8E7YVLNEQKA,13017,8/19/2022 15:53,8/19/2022 16:04,100,682,1,8/19/2022 16:04,R_3JIcUETfJHxFqpW,EN,0.899999976,8/19/2022,4,2,4,4,4,4,4,4,4,5,4,4,5,NICE,24,5,1,4,Image1
AAYH890LEBM8E,15062,8/19/2022 15:53,8/19/2022 16:02,100,554,1,8/19/2022 16:02,R_2ZHqWLwjuUERiF4,EN,0.899999976,8/19/2022,4,2,4,4,4,5,4,4,4,4,4,4,4,animal,46,1,2,4,Image2
AX70HH10V1ILZ,82449,8/19/2022 15:53,8/19/2022 15:58,100,268,1,8/19/2022 15:58,R_2wsr2HHP6qmPOze,EN,0.899999976,8/19/2022,4,2,5,4,2,4,5,4,5,4,5,4,5,good,30,1,1,5,Image2
A10G8U9316K46H,98195,8/19/2022 15:53,8/19/2022 16:03,100,598,1,8/19/2022 16:03,R_2yaoeGUI4TunFUa,EN,1,7/19/2022,4,"1,2,3",3,4,4,4,3,4,3,2,5,2,3,affection,31,1,2,4,Image1
A1VDVUDES5BTL9,99051,8/19/2022 15:53,8/19/2022 16:00,100,403,1,8/19/2022 16:00,R_2bH5CiD1OFcarY8,EN,1,8/19/2022,5,1,4,5,5,4,4,4,5,5,5,5,5,Monkey ,58,1,2,4,Image2
A1C30LRLU9P7ZW,17580,8/19/2022 15:53,8/19/2022 15:58,100,287,1,8/19/2022 15:58,R_1Qnnb0DQ1t0bBIa,EN,0.899999976,8/19/2022,5,"1,2,3",4,4,4,4,4,4,5,4,5,4,3,ONE MAN IN GORILLA ANIMAL RESERACH,32,1,2,4,Image2
A2D1S77G7DNC54,66729,8/19/2022 15:53,8/19/2022 16:19,100,1544,1,8/19/2022 16:19,R_ZKupQziOywOiNI5,EN,0.800000012,8/19/2022,4,"1,2,3",5,4,5,4,5,5,5,4,5,5,4,Good,30,4,2,4,Image4
